"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
1457,1519,PKN1,1402.531079,52386,283,3.127606753,4.968589366,-462,0.000265,0.333333333,0.016463826
1458,1520,FRYL,666.5950892,27870,198,3.091360477,4.901612809,-535,0.00026,0.333333333,0.012694809
1459,1521,POLE3,1660.550909,80484,366,3.164846077,4.072589601,-387,0.000271,0.5,0.027060237
1460,1522,TNIP1,1172.736308,35780,214,3.096822244,6.593885304,-524,0.000261,0.333333333,0.011595607
1461,1523,DCK,4181.275802,192792,556,3.239324727,4.478758072,-237,0.000282,0.333333333,0.037117836
1462,1524,BCR,1755.682784,65170,298,3.135054618,5.735773567,-447,0.000266,0.333333333,0.017665471
1463,1525,NFYA,1130.517149,51366,274,3.127110228,5.027583924,-463,0.000265,0.333333333,0.020540485
1464,1526,KAT6A,1751.836567,73096,312,3.14448858,5.320037686,-428,0.000268,0.333333333,0.019703512
1465,1527,MYCBP2,2611.373799,107042,360,3.168818272,5.801060519,-379,0.000271,0.333333333,0.022268711
1466,1528,CDK8,4169.70478,187052,541,3.241310824,4.666010769,-233,0.000282,0.333333333,0.035794206
1467,1529,PNRC1,1704.52223,68476,312,3.142502483,5.10225887,-432,0.000267,0.333333333,0.017970403
1468,1530,EIF4EBP1,629.6444383,19374,149,3.069016882,7.036295476,-580,0.000257,0.333333333,0.009159617
1469,1531,CENPF,3133.433131,159302,586,3.235352532,3.353432616,-245,0.000281,0.5,0.040254841
1470,1532,TP53BP1,2783.783802,118308,427,3.187189672,4.820612476,-342,0.000274,0.333333333,0.027915432
1471,1533,EIF4G3,2056.42194,81666,350,3.154419067,5.015032917,-408,0.000269,0.333333333,0.020592332
1472,1534,SOCS6,1101.720307,44156,247,3.112711023,5.367707424,-492,0.000263,0.333333333,0.01564084
1473,1535,UBE2A,1014.891094,44796,258,3.116683217,4.975295051,-484,0.000264,0.333333333,0.018100149
1474,1536,SKP2,2670.867243,122914,475,3.197616683,4.157533846,-321,0.000275,0.333333333,0.03235841
